country,cause,beta,gamma,eta,mu,xi,theta,q,Lambda_scaled,Lambda_per_100k_per_year,cause_name
Fiji,Cocaine use disorders,1.0109939575195312,0.3724603652954101,0.3383013010025024,0.007765118,0.015359823,0.1192253082990646,1.6873555183410645,23.301294326782227,2330.1294326782227,Cocaine
Finland,Cocaine use disorders,0.5619034767150879,0.7187620401382446,0.1946009248495102,0.009666559,0.008340214,0.071064122,2.041503429412842,10.755087852478027,1075.5087852478027,Cocaine
France,Cocaine use disorders,0.5765742063522339,0.721062958,0.1924882382154464,0.009024736,0.006229788,0.069616333,2.018141746520996,12.200529098510742,1220.0529098510742,Cocaine
Gabon,Cocaine use disorders,1.0183559656143188,0.3777903318405151,0.3227880001068115,0.008663971,0.00834297,0.1224136427044868,1.6990830898284912,32.699913024902344,3269.9913024902344,Cocaine
Gambia,Cocaine use disorders,0.9513046145439148,0.4065581858158111,0.3232674598693847,0.010048412,0.013417603,0.1157940924167633,1.7215344905853271,39.17585372924805,3917.5853729248047,Cocaine
Georgia,Cocaine use disorders,0.9632642865180968,0.3932370841503143,0.3362221717834472,0.011911029,0.006470181,0.1217946708202362,1.7153222560882568,14.128999710083008,1412.8999710083008,Cocaine
Germany,Cocaine use disorders,0.5588669776916504,0.7134042382240295,0.1952377408742904,0.010897265,0.005087401,0.070566088,1.4600104093551636,9.136352539,913.6352539,Cocaine
Ghana,Cocaine use disorders,0.964837372,0.3946465253829956,0.3149720132350921,0.009145088,0.012616836,0.1208368614315986,1.7195966243743896,33.321292877197266,3332.1292877197266,Cocaine
Greece,Cocaine use disorders,0.5658045411109924,0.719581127,0.1860788166522979,0.010290883,0.005818539,0.069071546,2.0373620986938477,9.440823554992676,944.0823554992676,Cocaine
Greenland,Cocaine use disorders,0.5471311807632446,0.7091093063354492,0.1726499497890472,0.008524177,0.003549445,0.061718475,1.4470323324203491,16.558971405029297,1655.8971405029297,Cocaine
Grenada,Cocaine use disorders,0.5337676405906677,0.7155364155769348,0.1873230934143066,0.007651323,0.006010291,0.067927495,1.4375824928283691,17.249881744384766,1724.9881744384766,Cocaine
Guam,Cocaine use disorders,0.9520851373672484,0.3977980613708496,0.3247535228729248,0.005216,0.015481634,0.1185222417116165,1.7211939096450806,21.593353271484375,2159.3353271484375,Cocaine
Guatemala,Cocaine use disorders,0.5754606127738953,0.7050579786300659,0.1877900809049606,0.006196853,0.014779985,0.069489859,2.024512529373169,30.487205505371097,3048.7205505371094,Cocaine
Guinea-Bissau,Cocaine use disorders,1.0087058544158936,0.3783438801765442,0.3228577375411987,0.013117324,0.011975505,0.1229484677314758,1.7316069602966309,38.97688293457031,3897.6882934570312,Cocaine
Guinea,Cocaine use disorders,0.9995737671852112,0.3678874373435974,0.3384744822978973,0.013350911,0.01793864,0.121073879,1.6945587396621704,40.21247100830078,4021.247100830078,Cocaine
Guyana,Cocaine use disorders,0.5630666017532349,0.7172033786773682,0.1778739988803863,0.008020735,0.005678072,0.065167077,1.4992938041687012,24.27967643737793,2427.967643737793,Cocaine
Haiti,Cocaine use disorders,0.568659782,0.688715398,0.1621137708425521,0.010069941,0.005140082,0.1295244097709655,1.4613168239593506,29.306058883666992,2930.605888366699,Cocaine
Honduras,Cocaine use disorders,0.5672991871833801,0.7198494672775269,0.1910713762044906,0.005231147,0.009591136,0.069570124,2.0263209342956543,29.54914665222168,2954.914665222168,Cocaine
Hungary,Cocaine use disorders,0.961931288,0.3918413519859314,0.3367749750614166,0.013518706,0.003804191,0.1230454221367836,1.716706156730652,9.835499763,983.5499763,Cocaine
Iceland,Cocaine use disorders,0.5463085770606995,0.7229107618331909,0.1842075884342193,0.006559441,0.005281458,0.066583633,1.444758057594299,14.435176849365234,1443.5176849365234,Cocaine
India,Cocaine use disorders,0.9997187256813048,0.3679150342941284,0.348306268,0.008065735,0.017934758,0.1237832307815551,1.6940858364105225,23.754383087158203,2375.4383087158203,Cocaine
Indonesia,Cocaine use disorders,0.9997142553329468,0.3678800463676452,0.3439860641956329,0.007646324,0.017940145,0.1241341531276702,1.694097638130188,20.73376465,2073.376465,Cocaine
Iran_(Islamic_Republic_of),Cocaine use disorders,0.5906381011009216,0.7254629731178284,0.19158580899238586,0.005106323,0.009975391,0.069671772,1.995490550994873,18.317235946655273,1831.7235946655273,Cocaine
Iraq,Cocaine use disorders,0.9660999178886414,0.3918327689170837,0.3158711194992065,0.006153265,0.006878204,0.1166482269763946,1.7348666191101074,33.885528564453125,3388.5528564453125,Cocaine
Ireland,Cocaine use disorders,0.5535531640052795,0.7189508676528931,0.1837948858737945,0.007237794,0.005277495,0.067195788,1.453514575958252,14.188676834106444,1418.8676834106443,Cocaine
Israel,Cocaine use disorders,0.5703505277633667,0.7227893471717834,0.1869387924671173,0.005460647,0.00604496,0.067270726,2.032993317,20.86897087097168,2086.897087097168,Cocaine
Italy,Cocaine use disorders,0.5466164946556091,0.7193663120269775,0.1992504000663757,0.010122529,0.005511974,0.070989445,2.060973644256592,8.756912231445312,875.6912231445312,Cocaine
Jamaica,Cocaine use disorders,0.5655667781829834,0.7141698002815247,0.1815237402915954,0.007096941,0.003096993,0.064402498,1.4587682485580444,18.040205001831055,1804.0205001831057,Cocaine
